Route,Segment_ID,A.Buildings,B.Buildings,A.PredominantBuildings,B.PredominantBuildings,BuildingsSame,A.CyclingFacility,B.CyclingFacility,A.FacilityLocation,B.FacilityLocation,A.Slope,B.Slope,A.FacilityCondition,B.FacilityCondition,A.RoadCondition,B.RoadCondition,A.Lanes,B.Lanes,A.ParkingRestriction,B.ParkingRestriction,A.CurbType,B.CurbType,A.TrafficCalming,B.TrafficCalming,A.OtherRoute,B.OtherRoute,A.Crossing,B.Crossing,A.Lights,B.Lights,A.LightCover,B.LightCover,A.Destinations,B.Destinations,ParkingSpots,A.BikeParking,B.BikeParking,A.Maintenance,B.Maintenance,A.Trees,B.Trees,A.TreeHeight,B.TreeHeight,A.Cleanliness,B.Cleanliness,A.BusStops,B.BusStops,A.SoBiHub,B.SoBiHub,A.Attractiveness,B.Attractiveness,A.Comfortability,B.Comfortability,A.Views,B.Views,A.Wayfinding,B.Wayfinding
2A,13,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
2A,14,Natural features,Housing,Natural Features,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,Yes,No,0,None,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are tall,None,None or almost none,None or almost none,1 or more per block,1 or more per block,No,No,Attractive,Not attractive at all,Very difficult,Very difficult,Other nature,Residential,Not easy at all,Not easy at all
2A,15,Natural features,"Natural features, Industrial",Natural Features,Industrial,No,Sharrows,Sharrows,On-road,On-road,Moderate slope,Moderate slope,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,Non-mountable,Non-mountable,None,None,Alley or lane,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,0,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,Yes,No,Attractive,Not attractive at all,Moderately difficult,Moderately difficult,Other nature,Urban,Fairly easy,Fairly easy
2A,16,Housing,Natural features,Housing,Natural Features,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,17,Natural features,"Natural features, Industrial",Natural Features,Industrial,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,Alley or lane,None,Bridge/overpass,Bridge/overpass,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,Yes,No,Very attractive,Attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
2A,18,Natural features,Natural features,Natural Features,Natural Features,Yes,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,Alley or lane,Alley or lane,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
2A,19,Natural features,Retail,Natural Features,Retail,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are tall,None,None or almost none,None or almost none,None,None,No,Yes,Very attractive,Not attractive at all,Easy,Easy,Other nature,Commercial,Very easy,Very easy
2A,20,Natural features,"Housing, Natural features",Natural Features,Housing,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,No,No,Very attractive,Attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
2A,21,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,22,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,Speed humps,Speed humps,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,23,"Other retail, Natural features",Housing,Other retail,Housing,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are tall,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Other nature,Residential,Fairly easy,Fairly easy
2A,24,"Other retail, Food","Housing, Natural features",Other retail,Housing,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,Yes,No,Yes,Not Applicable,Yes,No,1 to 20,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are tall,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Residential,Fairly easy,Fairly easy
2A,25,"Housing, Service",Educational,Housing,Educational,No,Multi-use trail,No facilities,Off-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Not applicable,Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,Alley or lane,None,Traffic signal,Traffic signal,Yes,Yes,Yes,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are medium,None or almost none,None or almost none,None,None,No,No,Very attractive,Attractive,Easy,Very difficult,Residential,Commercial,Fairly easy,Fairly easy
2A,26,Transport infrastructure,Educational,Transport Infrastructure,Educational,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,Non-mountable,Non-mountable,None,None,None,Alley or lane,None,None,No,Yes,Not Applicable,Yes,No,Yes,0,Not applicable,On-street rack or stand,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Commercial,Commercial,Not easy at all,Not easy at all
2A,27,Transport infrastructure,Educational,Transport Infrastructure,Educational,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,Yes,Yes,Yes,No,Yes,0,Not applicable,None,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are medium,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Commercial,Commercial,Not easy at all,Not easy at all
