Route,Segment_ID,A.Buildings,B.Buildings,A.PredominantBuildings,B.PredominantBuildings,BuildingsSame,A.CyclingFacility,B.CyclingFacility,A.FacilityLocation,B.FacilityLocation,A.Slope,B.Slope,A.FacilityCondition,B.FacilityCondition,A.RoadCondition,B.RoadCondition,A.Lanes,B.Lanes,A.ParkingRestriction,B.ParkingRestriction,A.CurbType,B.CurbType,A.TrafficCalming,B.TrafficCalming,A.OtherRoute,B.OtherRoute,A.Crossing,B.Crossing,A.Lights,B.Lights,A.LightCover,B.LightCover,A.Destinations,B.Destinations,ParkingSpots,A.BikeParking,B.BikeParking,A.Maintenance,B.Maintenance,A.Trees,B.Trees,A.TreeHeight,B.TreeHeight,A.Cleanliness,B.Cleanliness,A.BusStops,B.BusStops,A.SoBiHub,B.SoBiHub,A.Attractiveness,B.Attractiveness,A.Comfortability,B.Comfortability,A.Views,B.Views,A.Wayfinding,B.Wayfinding
1A,11,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are small,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Residential,Residential,Very easy,Very easy
1A,12,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,No curb,No curb,None,None,Path through park,Path through park,Traffic signal,Traffic signal,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are small,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Easy,Easy,Residential,Commercial,Very easy,Very easy
1A,13,Transport infrastructure,Educational,Transport Infrastructure,Educational,No,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,1 lane,No,Yes,Non-mountable,Non-mountable,None,None,None,Alley or lane,None,None,No,Yes,Not Applicable,Yes,No,Yes,0,None,On-street rack or stand,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are tall,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Urban,Commerical,Very easy,Very easy
1B,1,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,No,Not Applicable,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are tall,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Easy,Easy,Residential,Residential,Not easy at all,Not easy at all
1B,2,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,No,Not Applicable,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
1B,3,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Moderate slope,Moderate slope,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are small,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
1B,4,Housing,Natural features,Housing,Natural Features,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,Path through park,None,None,No,Yes,Not Applicable,Yes,No,Yes,1 to 20,Not applicable,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are small,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Very attractive,Moderately difficult,Moderately difficult,Residential,"Parks, community gardens",Fairly easy,Fairly easy
1B,5,"Educational, Service, Natural Features",Housing,Educational,Housing,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,Path through park,None,None,None,No,Yes,Not Applicable,Yes,Yes,No,51 to 70,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Commercial,Residential,Not easy at all,Not easy at all
1B,6,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are medium,None,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
1B,7,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are small,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Residential,Residential,Not easy at all,Not easy at all
1B,8,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are small,None,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Not easy at all,Not easy at all
1B,9,"Housing, Natural features",Housing,Housing,Natural Features,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,21 to 50,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Not easy at all,Not easy at all
1B,10,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are small,Majority are medium,None or almost none,None or almost none,None,None,Not available in area,Not available in area,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Not easy at all,Not easy at all
2A,1,Housing,Housing,Housing,Housing,Yes,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,Yes,Non-mountable,Non-mountable,None,None,Alley or lane,Alley or lane,None,None,No,Yes,Not Applicable,Yes,Yes,No,1 to 20,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,2,Service,"Housing, Food",Service,Housing,No,No facilities,Bicycle lane - marked,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,Not applicable,No,No,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,Yes,Yes,21 to 50,None,On-street rack or stand,Over 75%,Over 75%,1 or more per block,Approx 1 tree for every 2 blocks,Majority are medium,Majority are small,None or almost none,None or almost none,None,1 or more per block,No,No,Attractive,Attractive,Easy,Easy,Commercial,Residential,Fairly easy,Fairly easy
2A,3,Service,Housing,Service,Housing,No,No facilities,Bicycle lane - marked,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),2 or 3 lanes,Not applicable,Yes,No,Non-mountable,Non-mountable,None,None,Alley or lane,Alley or lane,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,Yes,No,1 to 20,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are small,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Easy,Easy,Commercial,Residential,Fairly easy,Fairly easy
2A,4,Housing,"Housing, Natural features",Housing,Housing,Yes,No facilities,Bicycle lane - marked,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,Not applicable,No,Yes,Non-mountable,Non-mountable,None,None,None,Path through park,None,None,No,Yes,Not Applicable,Yes,No,Yes,0,Not applicable,None,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Very attractive,Easy,Easy,Residential,"Parks, community gardens",Very easy,Very easy
2A,5,Housing,"Housing, Natural features",Housing,Natural Features,No,No facilities,Bicycle lane - marked,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Under repair,Good (few bumps/holes),Good (few bumps/holes),1 lane,Not applicable,No,Yes,Non-mountable,Non-mountable,Speed humps,Speed humps,None,Path through park,None,None,No,Yes,Not Applicable,Yes,No,Yes,0,Not applicable,None,Currently undergoing work,Currently undergoing work,No trees at all,1 or more per block,None,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Very attractive,Easy,Easy,Residential,"Parks, community gardens",Fairly easy,Fairly easy
2A,6,Housing,Housing,Housing,Housing,Yes,No facilities,Bicycle lane - marked,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,Not applicable,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,No,Not Applicable,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Currently undergoing work,Currently undergoing work,1 or more per block,1 or more per block,Majority are tall,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
2A,7,"Housing, Food, Retail, Service","Housing, Service",Housing,Housing,Yes,No facilities,Buffered bicycle lane,Not applicable,On-road,Not applicable,Flat or gentle,Not applicable,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,Not applicable,No,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,Yes,Yes,0,None,On-street rack or stand,Currently undergoing work,Currently undergoing work,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,1 or more per block,Yes,No,Attractive,Attractive,Easy,Easy,Residential,Residential,Fairly easy,Fairly easy
2A,8,"Service,","Food, Service",Service,Service,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,Yes,Yes,21 to 50,None,None,Over 75%,Over 75%,Approx 1 tree for every 2 blocks,No trees at all,Majority are small,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Commercial,Commercial,Fairly easy,Fairly easy
2A,9,Housing,Housing,Housing,Housing,Yes,Bicycle lane - marked,Bicycle lane - marked,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,Approx 1 tree for every 2 blocks,No trees at all,Majority are tall,None,None or almost none,None or almost none,1 or more per block,1 or more per block,No,No,Not attractive at all,Not attractive at all,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,10,"Housing, Educational",Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,Yes,No,21 to 50,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,11,Housing,"Housing, Natural features",Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,Yes,Yes,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,Approx 1 tree for every 2 blocks,1 or more per block,Majority are tall,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,12,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,13,Housing,Housing,Housing,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Moderate (some bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,No trees at all,No trees at all,None,None,None or almost none,None or almost none,None,None,No,No,Not attractive at all,Not attractive at all,Very difficult,Very difficult,Residential,Residential,Fairly easy,Fairly easy
2A,14,Natural features,Housing,Natural Features,Housing,Yes,No facilities,No facilities,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Good (few bumps/holes),Moderate (some bumps/holes),2 or 3 lanes,2 or 3 lanes,Yes,Yes,Non-mountable,Non-mountable,None,None,None,None,Traffic signal,Traffic signal,No,Yes,Not Applicable,Yes,Yes,No,0,None,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are tall,None,None or almost none,None or almost none,1 or more per block,1 or more per block,No,No,Attractive,Not attractive at all,Very difficult,Very difficult,Other nature,Residential,Not easy at all,Not easy at all
2A,15,Natural features,"Natural features, Industrial",Natural Features,Industrial,No,Sharrows,Sharrows,On-road,On-road,Moderate slope,Moderate slope,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,Yes,Yes,Non-mountable,Non-mountable,None,None,Alley or lane,None,None,None,Yes,No,Yes,Not Applicable,Yes,No,0,None,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,Yes,No,Attractive,Not attractive at all,Moderately difficult,Moderately difficult,Other nature,Urban,Fairly easy,Fairly easy
2A,16,Housing,Natural features,Housing,Natural Features,No,Signed route,Signed route,On-road,On-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),Good (few bumps/holes),1 lane,1 lane,No,No,Non-mountable,Non-mountable,None,None,None,None,None,None,No,Yes,Not Applicable,Yes,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are medium,Majority are medium,None or almost none,None or almost none,None,None,No,No,Attractive,Attractive,Moderately difficult,Moderately difficult,Residential,Residential,Fairly easy,Fairly easy
2A,17,Natural features,"Natural features, Industrial",Natural Features,Industrial,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,Alley or lane,None,Bridge/overpass,Bridge/overpass,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,Yes,No,Very attractive,Attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
2A,18,Natural features,Natural features,Natural Features,Natural Features,Yes,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,Alley or lane,Alley or lane,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,No,No,Very attractive,Very attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
2A,19,Natural features,Retail,Natural Features,Retail,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,No trees at all,Majority are tall,None,None or almost none,None or almost none,None,None,No,Yes,Very attractive,Not attractive at all,Easy,Easy,Other nature,Commercial,Very easy,Very easy
2A,20,Natural features,"Housing, Natural features",Natural Features,Housing,No,Multi-use trail,Multi-use trail,Off-road,Off-road,Flat or gentle,Flat or gentle,Good (few bumps/holes),Good (few bumps/holes),Not applicable,Not applicable,Not applicable,Not applicable,No,No,No curb,No curb,None,None,None,None,None,None,Yes,No,Yes,Not Applicable,No,No,Not applicable,Not applicable,Not applicable,Over 75%,Over 75%,1 or more per block,1 or more per block,Majority are tall,Majority are tall,None or almost none,None or almost none,None,None,No,No,Very attractive,Attractive,Easy,Easy,Other nature,Other nature,Very easy,Very easy
